Text;Sentiment
Tudo perfeito, nota 10!;positivo
Produto maravilhoso, recomendo!;positivo
Superou minhas expectativas!;positivo
Razoável pelo preço pago.;neutro
Regular, não tem diferencial.;neutro
Cumpre o que promete, só isso;neutro
Razoável pelo preço pago;neutro
Péssimo serviço, demorou muito.;negativo
Produto maravilhoso, recomendo!;positivo
Entrega rápida e atendimento ótimo!;positivo
Regular, não tem diferencial.;neutro
Entrega dentro do prazo, mas comum.;neutro
Atendimento padrão, sem problemas.;neutro
Chegou danificado, experiência frustrante.;negativo
Serve para o que precisa.;neutro
Produto mediano, não impressiona.;neutro
Péssimo serviço, demorou muito.;negativo
Estou muito satisfeito com a compra.;positivo
Produto de baixa qualidade, me arrependi.;negativo
Produto diferente do anunciado.;negativo
Atendimento deixou a desejar.;negativo
Entrega rápida e atendimento ótimo!;positivo
Muito bom, exatamente como descrito.;positivo
Amei esse produto, excelente qualidade!;positivo
Muito ruim, produto veio quebrado.;negativo
Não recomendo, péssima qualidade.;negativo
Serve para o que precisa.;neutro
Fiquei encantado com a entrega.;positivo
Produto de baixa qualidade, me arrependi.;negativo
Horrí­vel, nunca mais compro aqui.;negativo
Serve para o que precisa.;neutro
Atendimento deixou a desejar.;negativo
Muito bom, exatamente como descrito.;positivo
Muito bom, exatamente como descrito.;positivo
Atendimento deixou a desejar.;negativo
Regular, não tem diferencial.;neutro
Horrí­vel, nunca mais compro aqui.;negativo
Produto de baixa qualidade, me arrependi.;negativo
Entrega dentro do prazo, mas comum.;neutro
Amei esse produto, excelente qualidade!;positivo
Produto diferente do anunciado.;negativo
Produto de baixa qualidade, me arrependi.;negativo
O suporte não me ajudou em nada.;negativo
Serviço impecável!;positivo
Aceitável, mas esperava mais.;neutro
Atendimento padrão, sem problemas.;neutro
O suporte não me ajudou em nada.;negativo
Fiquei encantado com a entrega.;positivo
Demorou além do prazo e veio errado.;negativo
Amei esse produto, excelente qualidade!;positivo
Muito ruim, produto veio quebrado.;negativo
Nada demais, mas ok.;neutro
Produto maravilhoso, recomendo!;positivo
Experiência incrí­vel, voltarei a comprar.;positivo
Serviço impecável!;positivo
Não é ruim, mas não é excelente.;neutro
Aceitável, mas esperava mais.;neutro
Experiência incrível, voltarei a comprar.;positivo
Atendimento padrão, sem problemas.;neutro
Entrega dentro do prazo, mas comum.;neutro
